Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,MRP_Level,Outlet_age,Item_Rating,Item_Type_Combined,Item_Outlet_Category
18.7,Low Fat,0.0930934742,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,11.9532468504,Very High,4,7.92229413111,Food,FoodSupermarket Type2
17.85,Low Fat,0.142462290667,93.1436,OUT045,Small,Tier 2,Supermarket Type1,23.3457027643,Medium,11,6.48434865194,Food,FoodSupermarket Type1
17.5,Low Fat,0.097904029,174.8738,OUT046,Small,Tier 1,Supermarket Type1,11.9245169945,High,16,7.48839184564,Drinks,DrinksSupermarket Type1
10.0,No Fat,0.089291137,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,25.8405018874,High,14,7.40492069555,Non-Consumable,Non-ConsumableSupermarket Type1
20.2,Regular,0.059511812,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,21.8453943927,Medium,28,7.67460485827,Food,FoodSupermarket Type3
8.85,Regular,0.113123893,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,13.137915501,Medium,4,6.98862211927,Drinks,DrinksSupermarket Type2
6.385,Regular,0.123111453,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,10.4944224249,Low,28,5.708565469,Food,FoodSupermarket Type3
15.25,Low Fat,0.026480954,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,24.8858705452,Medium,28,8.10463870119,Food,FoodSupermarket Type3
13.35,Low Fat,0.102511504,230.6352,OUT046,Small,Tier 1,Supermarket Type1,14.8959395617,Very High,16,7.71906186993,Food,FoodSupermarket Type1
9.8,Low Fat,0.02681843,126.002,OUT013,High,Tier 3,Supermarket Type1,17.0674592467,Medium,26,8.45517653974,Food,FoodSupermarket Type1
13.6,Low Fat,0.117818348,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,13.1010815204,High,14,7.4014642294,Food,FoodSupermarket Type1
21.35,Low Fat,0.069102831,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,26.0400111108,Very High,4,8.23282929819,Food,FoodSupermarket Type2
12.15,Regular,0.042277867,126.5046,OUT013,High,Tier 3,Supermarket Type1,2.95257089466,Medium,26,8.00410438418,Food,FoodSupermarket Type1
6.42,Low Fat,0.089498926,178.1002,OUT010,Small,Tier 3,Grocery Store,2.01122963366,High,15,7.59637736089,Food,FoodGrocery Store
19.6,No Fat,0.0187569537778,153.3024,OUT045,Small,Tier 2,Supermarket Type1,15.8434466779,High,11,9.00872551366,Non-Consumable,Non-ConsumableSupermarket Type1
10.0,Low Fat,0.025879577,265.2226,OUT045,Small,Tier 2,Supermarket Type1,21.9253457285,Very High,11,9.23496819959,Food,FoodSupermarket Type1
15.85,Regular,0.121632721,60.622,OUT046,Small,Tier 1,Supermarket Type1,42.5034805846,Low,16,6.21341152403,Food,FoodSupermarket Type1
10.195,Regular,0.255394896,196.8794,OUT019,Small,Tier 1,Grocery Store,3.96342938875,High,28,6.64883205273,Food,FoodGrocery Store
7.39,No Fat,0.067779712,143.8812,OUT046,Small,Tier 1,Supermarket Type1,21.7859345071,High,16,7.66095129109,Non-Consumable,Non-ConsumableSupermarket Type1
10.195,Low Fat,0.159803853,141.5154,OUT013,High,Tier 3,Supermarket Type1,6.01271946375,High,26,6.78734527548,Food,FoodSupermarket Type1
9.895,Regular,0.028696932,117.0492,OUT013,High,Tier 3,Supermarket Type1,6.92823530618,Medium,26,8.31380455989,Food,FoodSupermarket Type1
10.895,Low Fat,0.065041581,196.3794,OUT017,Small,Tier 2,Supermarket Type1,15.8940825769,High,6,8.0131081572,Food,FoodSupermarket Type1
12.15,No Fat,0.028760013,151.4708,OUT017,Small,Tier 2,Supermarket Type1,31.7887381594,High,6,8.56935201485,Non-Consumable,Non-ConsumableSupermarket Type1
7.905,Low Fat,0.010053105,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,25.1305007051,Very High,4,10.1175308419,Food,FoodSupermarket Type2
9.195,No Fat,0.048157338,106.1622,OUT045,Small,Tier 2,Supermarket Type1,19.9434827085,Medium,11,7.69870338437,Non-Consumable,Non-ConsumableSupermarket Type1
8.365,Low Fat,0.071958197,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,20.9448103315,Low,14,6.27247611138,Drinks,DrinksSupermarket Type1
15.1,Low Fat,0.173481304,194.511,OUT046,Small,Tier 1,Supermarket Type1,25.2442021274,High,16,7.02306564685,Food,FoodSupermarket Type1
5.94,Low Fat,0.061082177,180.0344,OUT019,Small,Tier 1,Grocery Store,4.95556404776,High,28,7.98902232427,Food,FoodGrocery Store
10.0,Low Fat,0.0364918673,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,12.8999653321,Very High,4,8.81985535543,Food,FoodSupermarket Type2
7.97,Regular,0.040071131,87.3514,OUT045,Small,Tier 2,Supermarket Type1,12.1648513933,Medium,11,7.68749682271,Food,FoodSupermarket Type1
6.215,Low Fat,0.012090074,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,12.6604396523,Low,28,8.06073918739,Food,FoodSupermarket Type3
15.5,Regular,0.15028599,51.0692,OUT019,Small,Tier 1,Grocery Store,2.89426112021,Low,28,5.83133524552,Food,FoodGrocery Store
17.5,Low Fat,0.026015519,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,9.94136859765,Very High,28,9.19369876835,Food,FoodSupermarket Type3
17.7,Low Fat,0.195068226,185.4266,OUT010,Small,Tier 3,Grocery Store,0.994607030491,High,15,6.85811646513,Food,FoodGrocery Store
19.35,Low Fat,0.033082215,172.5738,OUT035,Small,Tier 2,Supermarket Type1,28.1946993113,High,9,8.55977610382,Food,FoodSupermarket Type1
13.65,Regular,0.078946455,186.024,OUT045,Small,Tier 2,Supermarket Type1,6.01290156109,High,11,7.76528543729,Food,FoodSupermarket Type1
17.6,Low Fat,0.041700756,164.8526,OUT045,Small,Tier 2,Supermarket Type1,13.9660302598,High,11,8.28254068799,Drinks,DrinksSupermarket Type1
8.645,No Fat,0.143422643,95.841,OUT046,Small,Tier 1,Supermarket Type1,21.153379034,Medium,16,6.50614537647,Non-Consumable,Non-ConsumableSupermarket Type1
15.6,Regular,0.105296072,170.1764,OUT046,Small,Tier 1,Supermarket Type1,20.1880401748,High,16,7.38843326488,Food,FoodSupermarket Type1
15.85,Regular,0.121531501,59.222,OUT013,High,Tier 3,Supermarket Type1,10.1181993178,Low,26,6.1909249084,Food,FoodSupermarket Type1
18.25,Low Fat,0.0581012104444,164.7526,OUT045,Small,Tier 2,Supermarket Type1,27.9490144617,High,11,7.95036633143,Food,FoodSupermarket Type1
7.855,Low Fat,0.011324862,189.6188,OUT017,Small,Tier 2,Supermarket Type1,12.0506278913,High,6,9.72583025672,Food,FoodSupermarket Type1
7.825,No Fat,0.186357148,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,21.9394582218,Very High,14,7.21961176428,Non-Consumable,Non-ConsumableSupermarket Type1
8.39,Regular,0.024205661,114.0176,OUT046,Small,Tier 1,Supermarket Type1,20.0877057577,Medium,16,8.45773384505,Food,FoodSupermarket Type1
12.85,Low Fat,0.033230816,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,7.00406168657,High,14,8.5539524762,Food,FoodSupermarket Type1
13.35,Low Fat,0.113720344,89.9804,OUT019,Small,Tier 1,Grocery Store,7.1478099675,Medium,28,6.67486787271,Food,FoodGrocery Store
19.0,Low Fat,0.112556507,104.9622,OUT017,Small,Tier 2,Supermarket Type1,15.128617731,Medium,6,6.83897196256,Food,FoodSupermarket Type1
5.905,Low Fat,0.0444160403333,222.5456,OUT045,Small,Tier 2,Supermarket Type1,23.8382353998,Very High,11,8.51948619228,Food,FoodSupermarket Type1
7.76,Low Fat,0.059352241,101.87,OUT046,Small,Tier 1,Supermarket Type1,16.6662412879,Medium,16,7.4485453478,Food,FoodSupermarket Type1
11.8,Regular,0.014087057,180.3344,OUT046,Small,Tier 1,Supermarket Type1,7.91571214366,High,16,9.45738986482,Food,FoodSupermarket Type1
16.75,Low Fat,0.045230944,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,24.9733979727,High,4,8.33242020734,Food,FoodSupermarket Type2
18.85,No Fat,0.293417759,194.6136,OUT019,Small,Tier 1,Grocery Store,2.99691696778,High,28,6.49868049965,Non-Consumable,Non-ConsumableGrocery Store
12.6,Regular,0.031382044,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,18.0420127859,High,28,8.60556480473,Food,FoodSupermarket Type3
15.5,Regular,0.12639886,177.0028,OUT017,Small,Tier 2,Supermarket Type1,14.0079094794,High,6,7.24519221966,Food,FoodSupermarket Type1
6.055,Low Fat,0.025403898,160.992,OUT035,Small,Tier 2,Supermarket Type1,16.8732856291,High,9,8.75436511005,Food,FoodSupermarket Type1
20.2,Regular,0.039057677,155.963,OUT027,Medium,Tier 3,Supermarket Type3,21.0673236601,High,28,8.29258502531,Food,FoodSupermarket Type3
6.305,Regular,0.123115764,95.6436,OUT046,Small,Tier 1,Supermarket Type1,6.91949278363,Medium,16,6.6565453855,Food,FoodSupermarket Type1
20.85,Low Fat,0.039624006,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,12.9889154917,Medium,14,7.99322899047,Food,FoodSupermarket Type1
20.75,Low Fat,0.040421193,122.173,OUT010,Small,Tier 3,Grocery Store,3.02455534365,Medium,15,8.01416992279,Food,FoodGrocery Store
8.895,Low Fat,0.105274111,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,17.2981424971,Low,14,5.94054394275,Drinks,DrinksSupermarket Type1
19.6,Low Fat,0.033970195,55.1614,OUT045,Small,Tier 2,Supermarket Type1,25.0453215473,Low,11,7.39315083295,Drinks,DrinksSupermarket Type1
19.7,Low Fat,0.053212652,57.893,OUT035,Small,Tier 2,Supermarket Type1,10.7529925898,Low,9,6.99297430357,Food,FoodSupermarket Type1
9.8,No Fat,0.024378706,114.5492,OUT035,Small,Tier 2,Supermarket Type1,11.1248371879,Medium,9,8.45526245803,Non-Consumable,Non-ConsumableSupermarket Type1
7.93,Low Fat,0.009714595,120.0414,OUT019,Small,Tier 1,Grocery Store,4.05997930714,Medium,28,9.42204349218,Food,FoodGrocery Store
12.15,Low Fat,0.131383762,246.046,OUT049,Medium,Tier 1,Supermarket Type1,5.00609642099,Very High,14,7.53568510572,Food,FoodSupermarket Type1
8.75,Regular,0.07461309,187.4556,OUT035,Small,Tier 2,Supermarket Type1,20.0320075794,High,9,7.82937928691,Food,FoodSupermarket Type1
12.15,No Fat,0.028459761,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,29.0966854881,High,28,8.56989444326,Non-Consumable,Non-ConsumableSupermarket Type3
8.75,Regular,0.074627201,187.8556,OUT046,Small,Tier 1,Supermarket Type1,6.99627373365,High,16,7.8313209756,Food,FoodSupermarket Type1
13.3,Low Fat,0.063695084,151.0708,OUT045,Small,Tier 2,Supermarket Type1,11.9523402272,High,11,7.77181802994,Food,FoodSupermarket Type1
20.6,Regular,0.045797829,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,15.9910381417,High,28,8.26855637861,Food,FoodSupermarket Type3
8.31,Regular,0.115857223,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,21.7543310322,High,14,7.34400329127,Food,FoodSupermarket Type1
16.75,Regular,0.024832806,38.7822,OUT013,High,Tier 3,Supermarket Type1,17.2191727133,Low,26,7.35419116548,Drinks,DrinksSupermarket Type1
19.75,Low Fat,0.034027909,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,15.0212173877,Very High,4,8.7377463219,Food,FoodSupermarket Type2
17.1,Regular,0.0467696,141.1838,OUT013,High,Tier 3,Supermarket Type1,15.9206707852,High,26,8.01291565998,Food,FoodSupermarket Type1
10.5,Regular,0.116576702,163.121,OUT013,High,Tier 3,Supermarket Type1,11.0,High,26,7.24441250178,Food,FoodSupermarket Type1
6.635,Regular,0.00492411533333,121.3098,OUT045,Small,Tier 2,Supermarket Type1,20.8615116009,Medium,11,10.1119988428,Food,FoodSupermarket Type1
9.395,Low Fat,0.278974075,225.372,OUT019,Small,Tier 1,Grocery Store,3.01331132528,Very High,28,6.69562586564,Drinks,DrinksGrocery Store
14.15,Low Fat,0.035913805,41.4138,OUT013,High,Tier 3,Supermarket Type1,19.6136553516,Low,26,7.05111449399,Drinks,DrinksSupermarket Type1
13.3,Low Fat,0.079806266,232.53,OUT046,Small,Tier 1,Supermarket Type1,3.00645078054,Very High,16,7.97751565486,Food,FoodSupermarket Type1
8.89,Low Fat,0.005505481,102.4016,OUT017,Small,Tier 2,Supermarket Type1,26.6835986938,Medium,6,9.83096723717,Food,FoodSupermarket Type1
6.69,Regular,0.064625342,176.937,OUT019,Small,Tier 1,Grocery Store,0.997174135427,High,28,7.91530756935,Food,FoodGrocery Store
6.195,Low Fat,0.071636937,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,33.6647763779,Medium,28,7.43837239571,Food,FoodSupermarket Type3
9.1,Regular,0.078393078375,173.2054,OUT045,Small,Tier 2,Supermarket Type1,18.1974534281,High,11,7.70095031445,Food,FoodSupermarket Type1
7.5,Low Fat,0.032677678,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,24.8536119781,Very High,14,8.89804228928,Food,FoodSupermarket Type1
16.85,Regular,0.160760054,192.4478,OUT017,Small,Tier 2,Supermarket Type1,25.168876963,High,6,7.0885023166,Food,FoodSupermarket Type1
7.485,Low Fat,0.06911065,109.0228,OUT035,Small,Tier 2,Supermarket Type1,23.3164475688,Medium,9,7.36423717952,Food,FoodSupermarket Type1
11.6,Low Fat,0.041177505,140.3154,OUT017,Small,Tier 2,Supermarket Type1,18.1924236399,High,6,8.13404933361,Drinks,DrinksSupermarket Type1
11.65,Low Fat,0.040081193,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,5.02862560962,Very High,4,8.6422802544,Food,FoodSupermarket Type2
13.0,No Fat,0.035307322,47.5034,OUT017,Small,Tier 2,Supermarket Type1,14.3241873213,Low,6,7.20520918464,Non-Consumable,Non-ConsumableSupermarket Type1
12.65,Low Fat,0.063017847,159.0578,OUT045,Small,Tier 2,Supermarket Type1,13.1144238132,High,11,7.83400108134,Drinks,DrinksSupermarket Type1
20.25,Regular,0.171938781,92.512,OUT010,Small,Tier 3,Grocery Store,2.01513317191,Medium,15,6.28981198732,Food,FoodGrocery Store
8.6,Regular,0.040197932,190.153,OUT035,Small,Tier 2,Supermarket Type1,15.9663428923,High,9,8.46198011423,Food,FoodSupermarket Type1
12.6,Low Fat,0.049058014,62.7194,OUT017,Small,Tier 2,Supermarket Type1,13.8214268631,Low,6,7.15420440839,Food,FoodSupermarket Type1
17.7,Low Fat,0.01161096,95.041,OUT035,Small,Tier 2,Supermarket Type1,9.14204395998,Medium,9,9.01023633724,Food,FoodSupermarket Type1
14.15,Low Fat,0.183507295,82.4276,OUT046,Small,Tier 1,Supermarket Type1,13.7961847731,Medium,16,6.10964499988,Drinks,DrinksSupermarket Type1
19.25,Low Fat,0.102349519,52.7956,OUT017,Small,Tier 2,Supermarket Type1,17.579593754,Low,6,6.2477262431,Food,FoodSupermarket Type1
8.88,Low Fat,0.086708987,151.7682,OUT013,High,Tier 3,Supermarket Type1,5.02306148455,High,26,7.46812326312,Drinks,DrinksSupermarket Type1
20.5,No Fat,0.032835147,40.2822,OUT045,Small,Tier 2,Supermarket Type1,17.553152509,Low,11,7.11298026237,Non-Consumable,Non-ConsumableSupermarket Type1
12.0,Low Fat,0.033809913,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,44.1218177872,High,28,8.58345978111,Food,FoodSupermarket Type3
13.5,No Fat,0.07266912,160.292,OUT046,Small,Tier 1,Supermarket Type1,8.97192623462,High,16,7.6992891478,Non-Consumable,Non-ConsumableSupermarket Type1
12.15,No Fat,0.144338493,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,31.0828727805,Very High,28,7.34984718229,Non-Consumable,Non-ConsumableSupermarket Type3
8.89,Low Fat,0.009163216,101.7016,OUT010,Small,Tier 3,Grocery Store,0.995083656501,Medium,15,9.31469120066,Food,FoodGrocery Store
7.855,Low Fat,0.011307038,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,5.05039285207,High,4,9.72158762845,Food,FoodSupermarket Type2
7.235,No Fat,0.076855628,116.0492,OUT046,Small,Tier 1,Supermarket Type1,16.9707020815,Medium,16,7.32050286565,Non-Consumable,Non-ConsumableSupermarket Type1
18.25,Low Fat,0.059956876,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,31.8065911324,High,28,7.92317677281,Food,FoodSupermarket Type3
6.92,Low Fat,0.038532062,60.5852,OUT045,Small,Tier 2,Supermarket Type1,21.6932386127,Low,11,7.36095103963,Food,FoodSupermarket Type1
9.3,Low Fat,0.043209581,90.8172,OUT017,Small,Tier 2,Supermarket Type1,5.89429315152,Medium,6,7.65101739406,Food,FoodSupermarket Type1
18.5,No Fat,0.056816465,132.1284,OUT010,Small,Tier 3,Grocery Store,1.99545896265,Medium,15,7.75213321262,Non-Consumable,Non-ConsumableGrocery Store
8.02,No Fat,0.019866705,154.5972,OUT035,Small,Tier 2,Supermarket Type1,9.06985896252,High,9,8.95966158677,Non-Consumable,Non-ConsumableSupermarket Type1
9.195,No Fat,0.048331717,105.1622,OUT017,Small,Tier 2,Supermarket Type1,16.1065021462,Medium,6,7.68563067384,Non-Consumable,Non-ConsumableSupermarket Type1
12.8,No Fat,0.091221855,105.5938,OUT045,Small,Tier 2,Supermarket Type1,20.3030480956,Medium,11,7.05492395098,Non-Consumable,Non-ConsumableSupermarket Type1
16.6,No Fat,0.027622076,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,15.0675544827,High,14,8.76902296389,Non-Consumable,Non-ConsumableSupermarket Type1
14.0,Regular,0.1416453383,53.064,OUT035,Small,Tier 2,Supermarket Type1,17.0640735715,Low,9,5.92859346934,Food,FoodSupermarket Type1
18.6,Low Fat,0.039355947,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,29.9147658781,Very High,14,8.74214377984,Food,FoodSupermarket Type1
16.0,Low Fat,0.060836524,226.8404,OUT035,Small,Tier 2,Supermarket Type1,27.7778173553,Very High,9,8.2240797881,Food,FoodSupermarket Type1
17.6,No Fat,0.082316506,160.692,OUT035,Small,Tier 2,Supermarket Type1,9.94399223359,High,9,7.57718525324,Non-Consumable,Non-ConsumableSupermarket Type1
21.25,Low Fat,0.155350299,178.237,OUT035,Small,Tier 2,Supermarket Type1,2.96970326027,High,9,7.0460580582,Food,FoodSupermarket Type1
7.235,No Fat,0.076841095,117.5492,OUT035,Small,Tier 2,Supermarket Type1,16.7541454982,Medium,9,7.33352613963,Non-Consumable,Non-ConsumableSupermarket Type1
14.6,Low Fat,0.151419185,50.3692,OUT017,Small,Tier 2,Supermarket Type1,20.5413864028,Low,6,5.81008478234,Drinks,DrinksSupermarket Type1
13.85,Regular,0.026001976,161.521,OUT018,Medium,Tier 3,Supermarket Type2,11.1089641595,High,4,8.73437887808,Food,FoodSupermarket Type2
13.65,Regular,0.073209447,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,14.0070834931,High,4,7.9012615028,Food,FoodSupermarket Type2
9.5,Low Fat,0.041683481,31.29,OUT027,Medium,Tier 3,Supermarket Type3,28.7257909875,Low,28,6.6222802051,Drinks,DrinksSupermarket Type3
7.365,Low Fat,0.042560252,226.172,OUT046,Small,Tier 1,Supermarket Type1,14.0123799586,Very High,16,8.57831844345,Food,FoodSupermarket Type1
18.35,No Fat,0.014081156,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,16.057251584,Very High,4,9.6727259484,Non-Consumable,Non-ConsumableSupermarket Type2
5.465,Regular,0.030340533875,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,1.97887790372,Medium,4,8.38255454633,Food,FoodSupermarket Type2
18.6,Low Fat,0.152918384,99.8358,OUT017,Small,Tier 2,Supermarket Type1,19.1332187452,Medium,6,6.48290830129,Food,FoodSupermarket Type1
13.85,Low Fat,0.030969274,140.9154,OUT017,Small,Tier 2,Supermarket Type1,12.0766417297,High,6,8.42313918558,Drinks,DrinksSupermarket Type1
14.0,Regular,0.060376776,154.5656,OUT013,High,Tier 3,Supermarket Type1,15.9896484082,High,26,7.84815989905,Food,FoodSupermarket Type1
14.0,Regular,0.04192285,54.764,OUT013,High,Tier 3,Supermarket Type1,24.3152435907,Low,26,7.17572252396,Food,FoodSupermarket Type1
21.35,Low Fat,0.077367431,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,18.6474568444,Medium,28,7.13479446332,Food,FoodSupermarket Type3
5.905,Low Fat,0.045838211,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,14.8988971249,Very High,4,8.48797520983,Food,FoodSupermarket Type2
7.27,Low Fat,0.071077939,114.2518,OUT046,Small,Tier 1,Supermarket Type1,22.9194761045,Medium,16,7.38300497933,Drinks,DrinksSupermarket Type1
6.155,Regular,0.094659871,214.556,OUT046,Small,Tier 1,Supermarket Type1,12.9091146367,Very High,16,7.72647698611,Food,FoodSupermarket Type1
19.5,Regular,0.077608838,233.4958,OUT017,Small,Tier 2,Supermarket Type1,23.0197005685,Very High,6,8.00957037897,Drinks,DrinksSupermarket Type1
15.2,Low Fat,0.021327477,216.8824,OUT017,Small,Tier 2,Supermarket Type1,13.0899104768,Very High,6,9.22721264052,Food,FoodSupermarket Type1
12.15,Regular,0.042485444,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,13.9440020607,Medium,4,7.98728410576,Food,FoodSupermarket Type2
14.6,No Fat,0.025578526,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,27.9436643522,High,28,8.95847230539,Non-Consumable,Non-ConsumableSupermarket Type3
12.6,Low Fat,0.0489808,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,10.0,Low,4,7.14295116225,Food,FoodSupermarket Type2
14.5,No Fat,0.019471688,164.821,OUT035,Small,Tier 2,Supermarket Type1,12.8659151443,High,9,9.04377193383,Non-Consumable,Non-ConsumableSupermarket Type1
16.6,Low Fat,0.122918852,173.0738,OUT017,Small,Tier 2,Supermarket Type1,22.0889793834,High,6,7.25065893285,Food,FoodSupermarket Type1
11.8,Regular,0.057373797,151.4366,OUT013,High,Tier 3,Supermarket Type1,8.98217075661,High,26,7.87871342538,Food,FoodSupermarket Type1
13.1,Regular,0.044155597,178.8318,OUT013,High,Tier 3,Supermarket Type1,22.1968330017,High,26,8.30672816772,Food,FoodSupermarket Type1
